id,name,address,city,state,zip,monday,tuesday,wednesday,thursday,friday,saturday,sunday,comments,brew_type,website,x,y,created_by
173,Urban Lodge Brewery & Restaurant,415 N Benton Dr,Sauk Rapids,MN,56379,11am-10pm,11am-10pm,11am-10pm,11am-11pm,11am-11pm,11am-11pm,11am-10pm,,Brew Pub,http://urbanlodgebrewery.com/,-94.17157064299992,45.59224156400006,1
174,Union Pizza and Brewery,114 South Union,Fergus Falls,MN,56537,,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,4pm-10pm,,,Brew Pub,http://unionpizzaandbrewing.com/,-96.07805821499994,46.28300974700005,1
175,Oakhold brewery,200 W Lake Dr,Detroit Lakes,MN,56501,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,part of Lakeside Tavern,Brew Pub,http://www.oakholdbrewery.com/,-95.84761918299995,46.806553447000056,1
177,Canal Park Brewing Co,300 Canal Park Dr,Duluth,MN,55802,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-12am,11am-12am,11am-11pm,"2016 - 1,200 barrels produced",Brew Pub,https://canalparkbrewery.com/,-92.09409550799995,46.78472502000005,1
178,Fitger's Brewhouse,600 E Superior St,Duluth,MN,55802,11am-10pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-10pm,"2016 - 1,862 barrels produced",Brew Pub,https://fitgersbrewhouse.com/,-92.09072827399996,46.792433472000035,1
179,Boathouse Brewpub and Restaurant,47 E Sheridan St,Ely,MN,55731,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,11am-11pm,2016 - 275 barrels produced,Brew Pub,http://boathousebrewpub.com/,-91.86565169999993,47.90334780900007,1
180,Loony's Brew,3481 Main St,International Falls,MN,56649,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-1am,4pm-10pm,,Brew Pub,http://www.loonysbrew.com/,-93.34818315399995,48.61544488900006,1
181,Gun Flint Tavern & Brewpub,111 W Wisconsin St,Grand Marais,MN,55604,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,2016 - 200 barrels produced,Brew Pub,http://www.gunflinttavern.com/,-90.33522369599997,47.74943536500006,1
182,Carmody Irish Pub,308 E Superior St,Duluth,MN,55802,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,3pm-12am,2016 - 115 barrels produced,Brew Pub,http://www.carmodyirishpub.com/,-92.09397233799994,46.78996204000003,1
183,Rock Bottom Brewery,800 LaSalle Plaza,Minneapolis,MN,55402,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-1am,,Brew Pub,https://www.rockbottom.com/locations/minneapolis/,-93.27658310199998,44.97639602200007,1
184,The Herkimer Pub & Brewery,2922 Lyndale Ave S,Minneapolis,MN,55408,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,10am-2am,,Brew Pub,http://www.theherkimer.com/the-beer/,-93.28839030899998,44.949119542000055,1
185,Town Hall Lanes,5019 S 34th Ave,Minneapolis,MN,55417,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,11am-12am,,Brew Pub,http://www.thlanes.com/,-93.22268696899994,44.911883605000064,1
186,Northbound Smokehouse,2617 E 38th St,Minneapolis,,,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-1am,,Brew Pub,http://northboundbrewpub.com/,-93.23241552299999,44.93423686700003,1
187,Town Hall Tap,4810 Chicago Ave S,Minneapolis,MN,55417,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,11am-1am,,Brew Pub,http://www.townhalltap.com/contactlocation/,-93.26283439099996,44.91575208000006,1
188,Town Hall Brewery,1430 Washington Ave S,Minneapolis,MN,55454,11am-1am,11am-1am,11am-1am,11am-1am,11am-2am,11am-2am,11am-12am,,Brew Pub,http://www.townhallbrewery.com/,-93.24774417999998,44.97330508400005,1
189,August Schell Brewing Co,1860 Schells Rd,New Ulm,MN,56073,,,,,,,,,Brewery,http://www.schellsbrewery.com/,-94.44995519999996,44.28938430000005,1
191,Bang Brewing,2320 Capp Road,St Paul,MN,55114,,,,4pm-8pm,4pm-10pm,2pm-10pm,,,Brewery,http://bangbrewing.com/,-93.19259059999996,44.97048070000005,1
193,Blacklist Brewing Company,200 E 2nd St,Duluth,MN,55805,,,,,,,,,Brewery,http://www.blacklistbrewing.com/,-92.09768591999995,46.79030051900003,1
196,Gull Dam Brewing,25202 Smiley Rd,Nisswa,MN,56468,,,,,,,,,Brewery,http://gulldambrewing.com/,-94.28695351899995,46.51797890000005,1
198,Harriet Brewing,3036 Minnehaha Ave,Minneapolis,MN,55406,,,,,,,,,Brewery,http://www.harrietbrewing.com/,-93.23387039999994,44.94714440000006,1
202,Lucid Brewing,6020 Culligan Way,Minnetonka,MN,55345,,,,,,,,,Brewery,http://www.lucidbrewing.com/,-93.44972499999996,44.89521800000006,1
203,Mantorville Brewing Co,101 East Fifth St,Mantorville,MN,55955,,,,,,,,,Brewery,http://www.mantorvillebeer.com/,-92.75431319999994,44.066693800000046,1
205,Olvalde Farm and Brewing Company,16557 County Road 25,Rollingstone,MN,55969,,,,,,,,,Brewery,http://olvalde.com/,-91.8189963,44.09926660000007,1
206,Sidhe Brewing Co,652 Jenks Ave E,St Paul,MN,55130,,,,,,,,,Brewery,http://www.sidhebrewing.com/,-93.07310599999994,44.97096700000003,1
208,South Fork Brewing Co,229 2nd St N,Delano,MN,55328,,,,,,,,,Brewery,http://southforkbrewingcompany.com/,-93.78788499999995,45.04222929200006,1
210,Vine Park Brewing Co,1254 West 7th,St Paul,MN,55102,,,,,,,,,Brewery,http://www.vinepark.com/,-93.13433649999995,44.92224080000006,1
212,Boom Island Brewing ,2014 Washington Ave N #300,Minneapolis,MN,55411,,,4pm-9pm,4pm-9pm,4pm-9pm,1pm-9pm,1pm-6pm,,Brewery,http://boomislandbrewing.com/,-93.28173365799995,44.99986500000006,1
213,Pryes Brewing Co,1401 W River Rd N,Minneapolis,MN,55411,,,4pm-10pm,4pm-11pm,3pm-12am,11am-12am,11am-9pm,,Brewery,https://www.pryesbrewing.com/,-93.27606264199993,44.994047525000035,1
214,Lakes & Legends Brewing Co,1368 LaSalle Ave,Minneapolis,MN,55403,,3pm-10pm,3pm-10pm,3pm-10pm,3pm-12am,12pm-12am,12pm-10pm,,Brewery,http://lakesandlegends.com,-93.27936032099996,44.96907622000004,1
215,HeadFlyer Brewing Co,861 E Hennepin Ave,Minneapolis,MN,55417,3pm-10pm,3pm-10pm,3pm-10pm,3pm-10pm,2pm-12am,12pm-12am,12pm-9pm,,Brewery,http://www.headflyerbrewing.com/,-93.21065499999997,44.89612500000004,1
